test_id,node,test_category,test_description,test,result,failure_reason
1,s2-brdr1,NTP,Synchronised with NTP server,NTP,PASS,
2,s2-brdr2,NTP,Synchronised with NTP server,NTP,PASS,
3,s2-leaf1,NTP,Synchronised with NTP server,NTP,PASS,
4,s2-leaf2,NTP,Synchronised with NTP server,NTP,PASS,
5,s2-leaf3,NTP,Synchronised with NTP server,NTP,PASS,
6,s2-leaf4,NTP,Synchronised with NTP server,NTP,PASS,
7,s2-spine1,NTP,Synchronised with NTP server,NTP,PASS,
8,s2-spine2,NTP,Synchronised with NTP server,NTP,PASS,
9,s2-brdr1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s2-brdr2_Ethernet1,PASS,
10,s2-brdr1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s2-brdr2_Ethernet6,PASS,
11,s2-brdr1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S2-SPINE1_Ethernet7,PASS,
12,s2-brdr1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S2-SPINE2_Ethernet7,PASS,
13,s2-brdr1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_s1-brdr1_Ethernet4,PASS,
14,s2-brdr2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s2-brdr1_Ethernet1,PASS,
15,s2-brdr2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s2-brdr1_Ethernet6,PASS,
16,s2-brdr2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S2-SPINE1_Ethernet8,PASS,
17,s2-brdr2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S2-SPINE2_Ethernet8,PASS,
18,s2-brdr2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_s1-brdr2_Ethernet5,PASS,
19,s2-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s2-leaf2_Ethernet1,PASS,
20,s2-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s2-leaf2_Ethernet6,PASS,
21,s2-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S2-SPINE1_Ethernet2,PASS,
22,s2-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S2-SPINE2_Ethernet2,PASS,
23,s2-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - s2-host1_eth1,PASS,
24,s2-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s2-leaf1_Ethernet1,PASS,
25,s2-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s2-leaf1_Ethernet6,PASS,
26,s2-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S2-SPINE1_Ethernet3,PASS,
27,s2-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S2-SPINE2_Ethernet3,PASS,
28,s2-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - s2-host1_eth2,PASS,
29,s2-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s2-leaf4_Ethernet1,PASS,
30,s2-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s2-leaf4_Ethernet6,PASS,
31,s2-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S2-SPINE1_Ethernet4,PASS,
32,s2-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S2-SPINE2_Ethernet4,PASS,
33,s2-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - s2-host2_eth1,PASS,
34,s2-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s2-leaf3_Ethernet1,PASS,
35,s2-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s2-leaf3_Ethernet6,PASS,
36,s2-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S2-SPINE1_Ethernet5,PASS,
37,s2-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S2-SPINE2_Ethernet5,PASS,
38,s2-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - s2-host2_eth2,PASS,
39,s2-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S2-LEAF1_Ethernet2,PASS,
40,s2-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S2-LEAF2_Ethernet2,PASS,
41,s2-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_S2-LEAF3_Ethernet2,PASS,
42,s2-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_S2-LEAF4_Ethernet2,PASS,
43,s2-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_S2-BRDR1_Ethernet2,PASS,
44,s2-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_S2-BRDR2_Ethernet2,PASS,
45,s2-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S2-LEAF1_Ethernet3,PASS,
46,s2-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S2-LEAF2_Ethernet3,PASS,
47,s2-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_S2-LEAF3_Ethernet3,PASS,
48,s2-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_S2-LEAF4_Ethernet3,PASS,
49,s2-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_S2-BRDR1_Ethernet3,PASS,
50,s2-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_S2-BRDR2_Ethernet3,PASS,
51,s2-brdr1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s2-brdr2_Po1,PASS,
52,s2-brdr2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s2-brdr1_Po1,PASS,
53,s2-leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s2-leaf2_Po1,PASS,
54,s2-leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - s2-host1,PASS,
55,s2-leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s2-leaf1_Po1,PASS,
56,s2-leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - s2-host1,PASS,
57,s2-leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s2-leaf4_Po1,PASS,
58,s2-leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - s2-host2,PASS,
59,s2-leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s2-leaf3_Po1,PASS,
60,s2-leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - s2-host2,PASS,
61,s2-brdr1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
62,s2-brdr1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
63,s2-brdr1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Ten,PASS,
64,s2-brdr1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Twenty,PASS,
65,s2-brdr1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf OVERLAY,PASS,
66,s2-brdr2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
67,s2-brdr2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
68,s2-brdr2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Ten,PASS,
69,s2-brdr2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Twenty,PASS,
70,s2-brdr2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf OVERLAY,PASS,
71,s2-leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
72,s2-leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
73,s2-leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Ten,PASS,
74,s2-leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Twenty,PASS,
75,s2-leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf OVERLAY,PASS,
76,s2-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
77,s2-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
78,s2-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Ten,PASS,
79,s2-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Twenty,PASS,
80,s2-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf OVERLAY,PASS,
81,s2-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
82,s2-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
83,s2-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Ten,PASS,
